category,id,label,selector
Person,hpmihpualuyqpi9,NGWANAMAKWETLE RENEILOE MASHABELA,NGWANAMAKWETLE RENEILOE MASHABELA
Person,la0glebecede9tn,DAVID JOHN MAYNIER,DAVID JOHN MAYNIER
Person,vtielkyqkmc7pat,CEDRIC THOMAS FROLICK,CEDRIC THOMAS FROLICK
Person,hiqfsm6ihzgtlpf,LUWELLYN TYRONE LANDERS,LUWELLYN TYRONE LANDERS
Person,c3sxe5tgo7g69sr,REGINA MINA MPONTSENG LESOMA,REGINA MINA MPONTSENG LESOMA
Person,l47jixg7grm4wwl,PATRICK MAESELA,PATRICK MAESELA
Person,joz146tsjdfxqb5,SUHLA JAMES MASANGO,SUHLA JAMES MASANGO
Person,g99bdpfcvhqpu1q,KWATI CANDITH MASHEGO-DLAMINI,KWATI CANDITH MASHEGO-DLAMINI
Person,dyqcemctgdrzs97,BALEKA MBETE,BALEKA MBETE
Person,hsbzk5augg6my2t,ARCHIBOLD MZUVUKILE FIGLAN,ARCHIBOLD MZUVUKILE FIGLAN
Person,mpfludauujnyyka,MANDLENKOSI PHILLIP GALO,MANDLENKOSI PHILLIP GALO
Person,flag9s1o2o3g6rv,NDABAKAYISE ERASMUS GCWABAZA,NDABAKAYISE ERASMUS GCWABAZA
Person,jcp22od3q5tmqeq,DION TRAVERS GEORGE,DION TRAVERS GEORGE
Person,kxbh7xniye7qenh,KNOWLEDGE MALUSI NKANYEZI GIGABA,KNOWLEDGE MALUSI NKANYEZI GIGABA
Person,dh03j4nm46gvw4d,MKHULEKO HLENGWA,MKHULEKO HLENGWA
Person,cprogbvskcbklgu,Donald Mlindwa Gumede,DONALD MLINDWA GUMEDE
Person,e89konee49mxoge,JOHN HAROLD JEFFERY,JOHN HAROLD JEFFERY
Person,pdo7iuu92uzzlc8,BERNARD DANIEL JOSEPH,BERNARD DANIEL JOSEPH
Person,bfqn4fj1zs9r07g,RISIMATI THOMPSON MAVUNDA,RISIMATI THOMPSON MAVUNDA
Company,g91jmkzxyzccokj,PICK N PAY STORES,PICK N PAY STORES LIMITED
Person,dqsxca6wi37mv9g,BERTHA PEACE MABE,BERTHA PEACE MABE
Person,ohpxsj9hjk51156,LIVHUHANI MABIJA,LIVHUHANI MABIJA
Person,bdmears8oxur0t1,ANDREW FRANS MADELLA,ANDREW FRANS MADELLA
Person,crf3rzq5fj20t45,SANTOSH VINITA KALYAN,SANTOSH VINITA KALYAN
Person,ofxh716gs3qjduf,MAESELA DAVID KEKANA,MAESELA DAVID KEKANA
Person,haid3dnrzh8kn57,HENDRIK CHRISTIAAN CRAFFORD KRÜGER,HENDRIK CHRISTIAAN CRAFFORD KRÜGER
Person,l6vw8envnbod68m,ROBERT ALFRED LEES,ROBERT ALFRED LEES
Person,mpb20c5tspd9xte,JOHANNA MMULE MALULEKE,JOHANNA MMULE MALULEKE
Person,ferxwj1svl8a68r,Zukile Luyenge,ZUKILE LUYENGE
Person,im24sxpik4fl47o,HELLEN BOIKHUTSO KEKANA,HELLEN BOIKHUTSO KEKANA
Person,d8zzrd9u66zyipo,MOSIUOA GERARD PATRICK LEKOTA,MOSIUOA GERARD PATRICK LEKOTA
Person,k3u03gvw1xvzr9y,WILLIAM MOTHIPA MADISHA,WILLIAM MOTHIPA MADISHA
Person,eh51un2xnkil4yg,TSHILILO MICHAEL MASUTHA,TSHILILO MICHAEL MASUTHA
Person,bul0bpjrnm4urmk,Constancia Likeleli Moeti,Constancia Likeleli Moeti
Person,gklhoshbayzm820,Cornelius Hendrick Du Plooy,Cornelius Hendrick Du Plooy
Person,jvv24dh6ua3vgc2,Cornelius Vernon Petersen,Cornelius Vernon Petersen
Person,kovf96v008gy6tz,Craig Johannes Cornish,Craig Johannes Cornish
Person,dirhuok47rfc83u,Lusizo Sharon Makhubela-Mashele,LUSIZO SHARON MAKHUBELA-MASHELE
Person,jwsg5au6qrf7tv9,SEMAKALENG PATRICIA KOPANE,SEMAKALENG PATRICIA KOPANE
Person,5klcau6zpak2xli,FEZEKA SISTER LOLIWE,FEZEKA SISTER LOLIWE
Person,pfnu33jhonvq6f7,Mmamoloko Tryphosa Kubayi,MMAMOLOKO TRYPHOSA KUBAYI
Person,mwvp6we3quicuon,MANDLENKOSI SICELO MABIKA,MANDLENKOSI SICELO MABIKA
Person,nu5snws5noa43g6,SOLOMON PATRICK MABILO,SOLOMON PATRICK MABILO
