alias,source_url,canonical
Hendrika Kruger,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1400,Hendrika Johanna Lodiwika Kruger
Hendrik Cornelius Schmidt,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/914,Hendrik Cornelus Schmidt
Hilda Sizakele Msweli,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/827,Hildah Sizakele Msweli
H.L. Combrinck,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1886,Henry Leach Combrinck
Patrick Chauke,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1395,Hlomane Patrick Chauke
HLOMANE CHAUKE,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1395,Hlomane Patrick Chauke
Brian Hlongwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1401,Brian Hlongwa
Hlongwa Brian,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1401,Brian Hlongwa
H.M. Blose,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1887,Happy Mamlili Blose
Hoffman Galeng,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1396,Goatlhotsemang Hoffman Galeng
HOFFMAN GALENG,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1396,Goatlhotsemang Hoffman Galeng
H.S. Ngxongo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1888,Hlobisile Salvatoris Ngxongo
Humphrey Maxegwana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1402,Comely Humphrey Maqocwa Maxegwana
Humphrey Mmemezi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1403,Humphrey Mdumzeli Zondelele Mmemezi
Ian Ollis,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/882,Ian Michael Ollis
Ian Davidson,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/590,Ian Ormiston Davidson
Ivan Meyer,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1405,Ivan Henry Meyer
Pretty Jabhile Ngubeni-Maluleke,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/853,Jabhile Pretty Ngubeni-Maluleka
Jack Bloom,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1407,Jack Brian Bloom
Van de Linde Van den Linde,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/993,Jacob Jeffrey Van der Linde
Japie van der Linde,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/993,Jacob Jeffrey Van der Linde
Jacques Smalle,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/941,Jacobus Frederik Smalle
Jac Bekker,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1020,Jacobus Marthinus Geyser Bekker
Jacobus Marthinus G Bekker,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1020,Jacobus Marthinus Geyser Bekker
Janet Semple ,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1409,Janet Audrey Semple
Jenny Hartnick,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1410,Jennifer Lorraine Hartnick
Jennifer Hartnick,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1410,Jennifer Lorraine Hartnick
Jo-Ann M. Downs,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1892,Jo-Ann Mary Downs
Juanita Terblanche,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/966,Johanna Fredrika Terblanche
Johanna Fredrika (Juanita) Terblanche,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/966,Johanna Fredrika Terblanche
John Cupido,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1412,John Cristiano Cupido
John Franzsen,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1406,JOHN DUNN FRANZSEN
John Moodey,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1413,John Clifford Moodey
Mc Gluwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/774,Joseph Job McGluwa
Joe McGluwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/774,Joseph Job McGluwa
Juli Kilian,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/679,Juliana Danielle Kilian
Rev K R Meshoe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/780,Kenneth Raselabe Joseph Meshoe
Khawe Jacob Lehana,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1419,Jacob Khawe
Khawe Jacob,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1419,Jacob Khawe
Sakhiwe Khumalo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1421,Sakhiwe Vincent Khumalo
Khumalo Sakhiwe,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1421,Sakhiwe Vincent Khumalo
K M Zondi,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1010,Keith Muntuwenkosi Zondi
Lindi Lasindwa,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1427,Lasindwa Lindiwe
L.C. Bebee,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1897,Lindiwe Christabola Bebee
